delaytimes_ms,delay_ms
26.871,108.73333333333333
26.879,102.66666666666667
26.88,104.88888888888889
26.881,108.15151515151516
26.882,109.1
26.889,103.29411764705883
26.89,104.62962962962963
26.891,108.03333333333333
26.892,114.76923076923077
26.899,122.38095238095238
26.9,147.32142857142858
26.901,193.9655172413793
26.902,231.78571428571428
26.909,242.71428571428572
26.91,273.03846153846155
26.911,322.3448275862069
26.912,374.17857142857144
26.913,402.0
26.919,402.5
26.92,436.71875
26.921,486.6666666666667
26.922,530.6521739130435
26.929,550.7142857142857
26.93,583.6451612903226
26.931,634.0
26.932,674.5333333333333
26.939,681.0
26.94,709.258064516129
26.941,762.3030303030303
26.942,807.6521739130435
26.95,835.5263157894736
26.951,874.5185185185185
26.952,919.4583333333334
26.953,964.6785714285714
26.954,991.0
26.96,1001.0625
